uid,created_at,updated_at,deleted_at,crop_uid,season,score
crop-season-070-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-070,RABI,0
crop-season-070-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-070,ZAID,0
crop-season-070-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-070,LONGTERM,2
crop-season-071-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-071,KHARIF,0
crop-season-071-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-071,RABI,0
crop-season-071-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-071,ZAID,0
crop-season-071-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-071,LONGTERM,2
crop-season-072-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-072,KHARIF,0
crop-season-072-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-072,RABI,0
crop-season-072-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-072,ZAID,0
crop-season-072-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-072,LONGTERM,2
crop-season-073-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-073,KHARIF,1
crop-season-073-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-073,RABI,1
crop-season-073-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-073,ZAID,0
crop-season-073-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-073,LONGTERM,2
crop-season-074-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-074,KHARIF,0
crop-season-074-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-074,RABI,0
crop-season-074-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-074,ZAID,0
crop-season-074-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-074,LONGTERM,2
crop-season-075-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-075,KHARIF,0
crop-season-075-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-075,RABI,0
crop-season-075-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-075,ZAID,0
crop-season-075-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-075,LONGTERM,2
crop-season-076-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-076,KHARIF,1
crop-season-076-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-076,RABI,1
crop-season-076-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-076,ZAID,0
crop-season-076-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-076,LONGTERM,2
